Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,215.8,,,,,,,,,,,,,
5.0,215.8,,,,,,,,,,,,,
10.0,215.8,,,,,,,,,,,,,
15.0,215.624,0.16192,,,,,,,106.0,1.47,0.0009,1.1365,0.0024,
20.0,215.008,1.19592,,,,,,,148.0,1.93,0.001,1.3291,0.0017,
25.0,214.128,1.73888,,,,,,,190.0,1.21,0.002,0.824,0.0013,
30.0,214.832,1.914,,,,,,,231.0,1.04,0.0017,0.7552,0.0016,
35.0,212.896,1.9254400000000005,,,,,,,273.0,0.96,0.0041,0.7257,0.0014,
40.0,212.368,1.90872,,,,,,,315.0,0.85,0.0034,0.6258,0.0014,
45.0,211.84,1.9738400000000005,,,,,,,357.0,1.13,0.0078,0.787,0.0023,
50.0,211.136,2.0468800000000003,,,,,,,391.0,1.06,0.0075,0.6826,0.0026,
55.0,210.344,2.04336,,,,,,,437.0,1.02,0.011,0.6721,0.0029,
60.0,209.904,1.94656,,,,,,,470.0,0.99,0.0119,0.6702,0.0034,
65.0,209.376,1.7758400000000003,,,,,,,494.0,1.13,0.0175,0.757,0.0035,
70.0,208.76,1.6174400000000002,,,,,,,496.0,1.19,0.0199,0.8074,0.0035,
75.0,208.672,1.45816,,,,,,,462.0,1.2,0.0217,0.8261,0.0034,
80.0,208.232,1.34552,,,,,,,441.0,1.14,0.0226,0.7975,0.0031,
85.0,207.792,1.23992,,,,,,,407.0,0.98,0.0182,0.6866,0.0022,
90.0,207.44,1.166,,,,,,,362.0,1.1,0.0227,0.8221,0.0021,
95.0,207.176,1.0428000000000002,,,,,,,304.0,1.18,0.0191,0.8459,0.0016,
100.0,207.0,0.97592,,,,,,,246.0,1.16,0.0195,0.7475,0.0013,
105.0,206.736,0.8958400000000001,,,,,,,198.0,1.06,0.0129,0.7702,0.0011,
110.0,206.384,0.8131200000000001,,,,,,,161.0,1.01,0.013,0.7318,0.001,
115.0,206.296,0.7515200000000001,,,,,,,128.0,1.3,0.0106,1.0487,0.0012,
120.0,206.032,0.7207200000000001,,,,,,,94.0,1.45,0.0126,1.0567,0.0013,
125.0,206.032,0.6635200000000001,,,,,,,69.0,1.39,0.0063,0.9485,0.0013,
130.0,205.768,0.63888,,,,,,,54.0,0.99,0.0046,0.6832,0.0009,
135.0,205.592,0.6248,,,,,,,45.0,0.99,0.0027,0.7691,0.0009,
140.0,205.152,0.5896,,,,,,,40.0,1.18,0.0034,0.856,0.001,
145.0,205.152,0.59488,,,,,,,34.0,1.33,0.0023,1.0164,0.0012,
150.0,205.064,0.58344,,,,,,,32.0,1.63,0.0027,1.2002,0.0014,
155.0,204.8,0.58344,,,,,,,41.0,1.07,0.0017,0.8626,0.0009,
160.0,204.624,0.58784,,,,,,,48.0,1.03,0.0016,0.734,0.0009,
165.0,204.36,0.61864,,,,,,,58.0,1.28,0.0019,0.9651,0.0009,
170.0,204.184,0.66704,,,,,,,73.0,1.08,0.0016,0.8803,0.0008,
175.0,204.096,0.6855200000000001,,,,,,,92.0,1.1,0.0016,0.8677,0.0008,
180.0,203.744,0.7251200000000001,,,,,,,114.0,1.1,0.0016,0.8517,0.0008,
185.0,203.568,0.7339200000000001,,,,,,,130.0,1.11,0.0021,0.8478,0.0008,
190.0,203.392,0.74536,,,,,,,135.0,1.35,0.0026,1.0134,0.001,
195.0,203.216,0.7286400000000001,,,,,,,130.0,1.33,0.0023,0.9284,0.0009,
200.0,203.04,0.72424,,,,,,,124.0,1.08,0.0021,0.8465,0.0008,
205.0,202.776,0.7180799999999999,,,,,,,124.0,1.05,0.0025,0.8008,0.0009,
210.0,202.512,0.6925600000000001,,,,,,,114.0,1.05,0.0025,0.8001,0.0009,
215.0,202.336,0.70048,,,,,,,101.0,1.02,0.0027,0.7828,0.0011,
220.0,202.072,0.69432,,,,,,,90.0,0.94,0.0026,0.7845,0.0014,
225.0,201.896,0.6749600000000001,,,,,,,81.0,0.97,0.0029,0.8146,0.0011,
230.0,201.544,0.6802400000000001,,,,,,,73.0,1.03,0.0032,0.898,0.001,
235.0,201.368,0.6811200000000001,,,,,,,67.0,1.03,0.0026,0.9099,0.001,
240.0,201.28,0.6556000000000001,,,,,,,60.0,1.04,0.0027,0.9024,0.0014,
245.0,200.928,0.66176,,,,,,,56.0,0.95,0.0024,0.8149,0.0017,
250.0,200.664,0.66176,,,,,,,55.0,0.93,0.0024,0.7385,0.0027,
255.0,200.4,0.66264,,,,,,,57.0,1.12,0.0032,0.9242,0.004,
260.0,200.312,0.67056,,,,,,,63.0,1.12,0.0031,0.933,0.0041,
265.0,200.048,0.67848,,,,,,,79.0,0.99,0.003,0.8254,0.0047,
270.0,199.69600000000003,0.72424,,,,,,,106.0,0.85,0.0023,0.6377,0.0045,
275.0,199.344,0.7779200000000001,,,,,,,134.0,0.88,0.0027,0.6482,0.0049,
280.0,198.816,0.8536,,,,,,,165.0,0.95,0.0028,0.7064,0.0061,
285.0,198.64,0.90288,,,,,,,190.0,1.01,0.0045,0.7651,0.0067,
290.0,198.288,0.93984,,,,,,,211.0,1.07,0.0045,0.7617,0.0074,
295.0,197.848,0.99176,,,,,,,236.0,1.08,0.0061,0.7407,0.0066,
300.0,197.496,1.03488,,,,,,,257.0,1.09,0.0058,0.7172,0.0084,
305.0,197.232,1.07888,,,,,,,271.0,1.18,0.0084,0.7722,0.0089,
310.0,196.704,1.1352,,,,,,,277.0,1.2,0.008,0.7295,0.0083,
315.0,196.352,1.1862400000000002,,,,,,,278.0,1.18,0.0095,0.6988,0.008,
320.0,195.912,1.2355200000000002,,,,,,,275.0,1.09,0.0086,0.654,0.0067,
325.0,195.472,1.2786400000000002,,,,,,,281.0,1.08,0.0098,0.674,0.0074,
330.0,194.856,1.3024,,,,,,,286.0,1.12,0.0098,0.713,0.0063,
335.0,194.504,1.35696,,,,,,,281.0,1.23,0.0118,0.7463,0.0082,
340.0,194.064,1.39128,,,,,,,277.0,1.22,0.0117,0.7973,0.0082,
345.0,193.624,1.43792,,,,,,,275.0,1.09,0.011,0.6981,0.0063,
350.0,193.008,1.47488,,,,,,,279.0,1.09,0.0103,0.6735,0.0062,
355.0,192.304,1.5215200000000002,,,,,,,284.0,1.03,0.0104,0.6237,0.0068,
360.0,191.776,1.5954400000000002,,,,,,,285.0,1.09,0.0108,0.6724,0.0062,
365.0,191.072,1.61128,,,,,,,288.0,1.11,0.0123,0.7027,0.0064,
370.0,190.632,1.65088,,,,,,,289.0,1.11,0.0123,0.6992,0.0082,
375.0,190.016,1.67728,,,,,,,295.0,1.09,0.0134,0.6986,0.0076,
380.0,189.488,1.6843200000000005,,,,,,,301.0,1.09,0.013,0.6931,0.0063,
385.0,188.696,1.71336,,,,,,,309.0,1.14,0.0145,0.7457,0.0074,
390.0,188.256,1.7380000000000002,,,,,,,315.0,1.13,0.0137,0.7146,0.0075,
395.0,187.64,1.81896,,,,,,,328.0,1.15,0.0149,0.7209,0.0078,
400.0,186.936,1.89552,,,,,,,340.0,1.09,0.0141,0.7067,0.008,
405.0,186.32,1.9228,,,,,,,345.0,1.23,0.0165,0.7625,0.0078,
410.0,185.616,1.93424,,,,,,,360.0,1.22,0.0165,0.7384,0.0103,
415.0,185.264,1.98352,,,,,,,363.0,1.16,0.0168,0.7281,0.0079,
420.0,184.472,1.98088,,,,,,,370.0,1.2,0.0176,0.7697,0.008,
425.0,183.856,2.01344,,,,,,,375.0,1.17,0.0179,0.7575,0.0089,
430.0,183.416,1.9932,,,,,,,375.0,1.26,0.0194,0.8058,0.0108,
435.0,182.8,2.01432,,,,,,,375.0,1.22,0.0189,0.7614,0.0095,
440.0,182.272,2.01784,,,,,,,377.0,1.15,0.0179,0.7224,0.0099,
445.0,181.48,2.01784,,,,,,,386.0,1.18,0.0185,0.7471,0.0091,
450.0,181.04,2.02488,,,,,,,390.0,1.18,0.0184,0.7507,0.009,
455.0,180.424,2.0319200000000004,,,,,,,405.0,1.28,0.0202,0.7831,0.0095,
460.0,179.808,2.05216,,,,,,,418.0,1.22,0.0195,0.7803,0.0089,
465.0,179.368,2.0266400000000004,,,,,,,426.0,1.3,0.0207,0.8136,0.0102,
470.0,178.66400000000002,2.00112,,,,,,,437.0,1.31,0.021,0.793,0.0097,
475.0,178.312,1.9958400000000005,,,,,,,434.0,1.28,0.0207,0.7864,0.0091,
480.0,177.696,1.96152,,,,,,,430.0,1.29,0.021,0.8277,0.0101,
485.0,177.168,1.958,,,,,,,428.0,1.23,0.0206,0.7619,0.0093,
490.0,176.64,1.9316,,,,,,,423.0,1.14,0.0196,0.6886,0.0084,
495.0,176.11200000000002,1.8999200000000005,,,,,,,414.0,1.15,0.0199,0.7247,0.0085,
500.0,175.32,1.83568,,,,,,,413.0,1.24,0.0215,0.733,0.0092,
505.0,175.056,1.7996,,,,,,,401.0,1.18,0.0198,0.7138,0.0084,
510.0,174.616,1.7635200000000002,,,,,,,390.0,1.28,0.0218,0.7802,0.0088,
515.0,173.912,1.7160000000000002,,,,,,,380.0,1.18,0.0191,0.7384,0.0082,
520.0,173.56,1.6887200000000002,,,,,,,363.0,1.18,0.0192,0.7083,0.0082,
525.0,173.12,1.66936,,,,,,,353.0,1.12,0.0169,0.6776,0.0078,
530.0,172.50400000000002,1.6350400000000005,,,,,,,349.0,1.06,0.0164,0.6775,0.0079,
535.0,171.888,1.59896,,,,,,,354.0,1.13,0.0161,0.7221,0.008,
540.0,171.536,1.606,,,,,,,346.0,1.27,0.0179,0.7814,0.0086,
545.0,171.096,1.58752,,,,,,,340.0,1.37,0.0178,0.8581,0.0098,
550.0,170.656,1.58752,,,,,,,330.0,1.25,0.0162,0.7891,0.0086,
555.0,170.216,1.58928,,,,,,,327.0,1.26,0.0153,0.7723,0.0086,
560.0,169.688,1.58312,,,,,,,325.0,1.2,0.0146,0.7231,0.0072,
565.0,169.336,1.5954400000000002,,,,,,,329.0,1.24,0.0144,0.7436,0.0083,
570.0,168.80800000000002,1.60336,,,,,,,339.0,1.27,0.0145,0.7661,0.0087,
575.0,168.544,1.61216,,,,,,,353.0,1.43,0.0152,0.8017,0.0086,
580.0,167.928,1.61128,,,,,,,363.0,1.52,0.0162,0.9078,0.009,
585.0,167.752,1.64648,,,,,,,365.0,1.49,0.0152,0.9225,0.0091,
590.0,167.312,1.65616,,,,,,,384.0,1.47,0.0144,0.8851,0.0089,
595.0,166.96,1.67728,,,,,,,393.0,1.39,0.013,0.7683,0.0074,
600.0,166.43200000000002,1.70632,,,,,,,417.0,1.59,0.015,0.8844,0.0084,
605.0,166.08,1.72568,,,,,,,418.0,1.51,0.0143,0.8643,0.0078,
610.0,165.904,1.73976,,,,,,,422.0,1.69,0.0159,0.9844,0.0085,
615.0,165.288,1.7732,,,,,,,433.0,1.47,0.0141,0.8703,0.0071,
620.0,165.024,1.78816,,,,,,,437.0,1.44,0.0135,0.8257,0.0079,
625.0,164.496,1.80488,,,,,,,466.0,1.63,0.0155,0.9125,0.0075,
630.0,164.144,1.81896,,,,,,,479.0,1.48,0.014,0.8006,0.0077,
635.0,163.792,1.83304,,,,,,,498.0,1.78,0.0175,0.9344,0.0088,
640.0,163.264,1.8286400000000005,,,,,,,500.0,1.75,0.0174,0.9773,0.0093,
645.0,163.17600000000002,1.8084,,,,,,,490.0,1.78,0.0179,0.9697,0.01,
650.0,162.736,1.81192,,,,,,,482.0,1.62,0.0167,0.8494,0.0089,
655.0,162.384,1.77936,,,,,,,476.0,1.43,0.0146,0.7315,0.0074,
